,Year,HDI,Climate,Health,Intersection
0,2011,VERY HIGH HUMAN DEVELOPMENT,0.33,1.0,0.0
1,2012,VERY HIGH HUMAN DEVELOPMENT,0.5,1.0,0.0
2,2013,VERY HIGH HUMAN DEVELOPMENT,0.0,1.0,0.0
3,2014,VERY HIGH HUMAN DEVELOPMENT,0.5,1.0,0.0
4,2015,VERY HIGH HUMAN DEVELOPMENT,0.5,1.0,0.0
5,2016,VERY HIGH HUMAN DEVELOPMENT,0.5,1.0,0.0
6,2017,VERY HIGH HUMAN DEVELOPMENT,0.67,1.0,0.33
7,2018,VERY HIGH HUMAN DEVELOPMENT,1.0,1.0,0.5
8,2019,VERY HIGH HUMAN DEVELOPMENT,1.0,1.0,0.67
9,2020,VERY HIGH HUMAN DEVELOPMENT,1.0,1.0,1.0
10,2021,VERY HIGH HUMAN DEVELOPMENT,1.0,1.0,0.67
