,Year,HDI,Climate,Health,Intersection
0,2011,HIGH HUMAN DEVELOPMENT,0.57,0.86,0.15
1,2012,HIGH HUMAN DEVELOPMENT,0.52,0.85,0.14
2,2013,HIGH HUMAN DEVELOPMENT,0.48,0.86,0.12
3,2014,HIGH HUMAN DEVELOPMENT,0.44,0.81,0.1
4,2015,HIGH HUMAN DEVELOPMENT,0.47,0.82,0.1
5,2016,HIGH HUMAN DEVELOPMENT,0.45,0.81,0.14
6,2017,HIGH HUMAN DEVELOPMENT,0.55,0.87,0.1
7,2018,HIGH HUMAN DEVELOPMENT,0.55,0.83,0.15
8,2019,HIGH HUMAN DEVELOPMENT,0.48,0.84,0.17
9,2020,HIGH HUMAN DEVELOPMENT,0.54,0.9,0.23
10,2021,HIGH HUMAN DEVELOPMENT,0.59,0.84,0.26
