,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,14.0,0.0
1,Alternative Energy,1.0,27.2,7.0
2,Automobiles & Parts,0.5,5.0,6.0
3,Banks,0.33,12.5,2.5
4,Chemicals,0.0,10.25,3.12
5,Construction & Materials,0.38,16.88,6.62
6,Diversified,0.68,20.27,4.61
7,Electricity,2.29,54.81,21.19
8,Electronic & Electrical Equ...,0.0,27.67,3.0
9,Equity Investment Instruments,0.0,2.0,2.0
10,Financial Services,1.89,38.33,12.11
11,Fixed Line Telecommunications,0.0,18.0,0.0
12,Food & Drug Retailers,3.0,126.0,4.0
13,Food Producers,0.33,21.75,2.33
14,Forestry & Paper,1.67,32.5,13.17
15,"Gas, Water & Multiutilities",1.75,42.0,7.5
16,General Industrials,0.27,29.27,2.73
17,General Retailers,2.5,73.0,32.17
18,Health Care Equipment & Ser...,1.05,63.16,3.11
19,Industrial Engineering,0.0,6.0,0.67
20,Industrial Metals & Mining,1.43,40.57,22.0
21,Industrial Transportation,0.58,21.75,5.25
22,Life Insurance,0.0,16.25,0.5
23,Media,0.2,4.8,0.6
24,Mobile Telecommunications,1.33,20.0,13.33
25,Nonlife Insurance,4.0,33.0,6.0
26,Oil & Gas Producers,0.0,0.0,0.0
27,"Oil Equipment, Services & D...",2.6,48.2,15.4
28,Personal Goods,0.0,14.8,4.0
29,Pharmaceuticals & Biotechno...,1.29,48.86,11.29
30,Real Estate Investment & Se...,2.0,93.5,11.5
31,Software & Computer Services,2.56,23.69,14.56
32,Support Services,0.12,11.0,1.63
33,Technology Hardware & Equip...,0.0,1.5,0.0
34,Travel & Leisure,1.0,29.0,5.29
