,Year,HDI,Climate,Health,Intersection
0,2011,HIGH HUMAN DEVELOPMENT,0.0,1.0,0.0
1,2012,HIGH HUMAN DEVELOPMENT,0.47,0.94,0.12
2,2013,HIGH HUMAN DEVELOPMENT,0.29,0.79,0.07
3,2014,HIGH HUMAN DEVELOPMENT,0.5,0.75,0.0
4,2015,HIGH HUMAN DEVELOPMENT,0.3,0.7,0.1
5,2016,HIGH HUMAN DEVELOPMENT,0.33,0.83,0.25
6,2017,HIGH HUMAN DEVELOPMENT,0.5,0.83,0.17
7,2018,HIGH HUMAN DEVELOPMENT,0.62,0.92,0.23
8,2019,HIGH HUMAN DEVELOPMENT,0.5,1.0,0.17
9,2020,HIGH HUMAN DEVELOPMENT,0.36,1.0,0.0
10,2021,HIGH HUMAN DEVELOPMENT,0.21,0.79,0.11
