,HDI,Year,intersection,climate,health,sum
0,VERY HIGH HUMAN DEVELOPMENT,2011,22.0,283.0,965.0,1270.0
1,VERY HIGH HUMAN DEVELOPMENT,2012,23.0,227.0,575.0,825.0
2,VERY HIGH HUMAN DEVELOPMENT,2013,11.0,218.0,846.0,1075.0
3,VERY HIGH HUMAN DEVELOPMENT,2014,10.0,243.0,1043.0,1296.0
4,VERY HIGH HUMAN DEVELOPMENT,2015,10.0,231.0,1081.0,1322.0
5,VERY HIGH HUMAN DEVELOPMENT,2016,8.0,201.0,767.0,976.0
6,VERY HIGH HUMAN DEVELOPMENT,2017,21.0,243.0,764.0,1028.0
7,VERY HIGH HUMAN DEVELOPMENT,2018,23.0,422.0,1049.0,1494.0
8,VERY HIGH HUMAN DEVELOPMENT,2019,64.0,749.0,1634.0,2447.0
9,VERY HIGH HUMAN DEVELOPMENT,2020,104.0,1286.0,1873.0,3263.0
10,VERY HIGH HUMAN DEVELOPMENT,2021,259.0,2303.0,7131.0,9693.0
