,Sector,intersection,climate,health
0,Alternative Energy,10.0,147.0,766.0
1,Automobiles & Parts,0.0,6.0,58.0
2,Banks,0.0,128.0,497.0
3,Beverages,14.0,191.0,498.0
4,Chemicals,11.0,88.0,847.0
5,Construction & Materials,32.0,521.0,2434.0
6,Diversified,21.0,117.0,530.0
7,Electricity,90.0,1520.0,4775.0
8,Electronic & Electrical Equ...,21.0,91.0,365.0
9,Equity Investment Instruments,2.0,6.0,20.0
10,Financial Services,13.0,271.0,1146.0
11,Fixed Line Telecommunications,23.0,234.0,706.0
12,Food & Drug Retailers,0.0,0.0,32.0
13,Food Producers,26.0,337.0,2795.0
14,Forestry & Paper,14.0,190.0,362.0
15,"Gas, Water & Multiutilities",24.0,635.0,2310.0
16,General Industrials,39.0,505.0,2810.0
17,General Retailers,6.0,28.0,228.0
18,Health Care Equipment & Ser...,40.0,119.0,2825.0
19,Industrial Engineering,4.0,44.0,122.0
20,Industrial Metals & Mining,13.0,121.0,334.0
21,Industrial Transportation,13.0,165.0,1065.0
22,Life Insurance,4.0,24.0,108.0
23,Media,0.0,13.0,178.0
24,Mining,24.0,151.0,1214.0
25,Mobile Telecommunications,0.0,18.0,65.0
26,Nonlife Insurance,4.0,35.0,388.0
27,Not Applicable,15.0,203.0,3064.0
28,Oil & Gas Producers,37.0,561.0,3299.0
29,"Oil Equipment, Services & D...",31.0,377.0,1879.0
30,Personal Goods,1.0,28.0,182.0
31,Pharmaceuticals & Biotechno...,11.0,42.0,734.0
32,Real Estate Investment & Se...,0.0,11.0,41.0
33,Software & Computer Services,7.0,51.0,854.0
34,Support Services,43.0,390.0,3718.0
35,Technology Hardware & Equip...,0.0,6.0,43.0
36,Travel & Leisure,2.0,63.0,877.0
