,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,0.0,2021
1,Automobiles & Parts,0.0,1.0,0.0,2021
2,Banks,0.73,0.95,0.15,2021
3,Beverages,0.86,0.86,0.43,2021
4,Chemicals,0.25,1.0,0.0,2021
5,Construction & Materials,0.62,0.95,0.14,2021
6,Diversified,0.5,0.83,0.1,2021
7,Electricity,0.67,0.67,0.0,2021
8,Financial Services,0.45,0.97,0.03,2021
9,Fixed Line Telecommunications,0.6,0.8,0.0,2021
10,Food Producers,0.84,1.0,0.48,2021
11,"Gas, Water & Multiutilities",0.0,1.0,0.0,2021
12,General Industrials,0.33,0.67,0.0,2021
13,Health Care Equipment & Ser...,0.33,0.33,0.33,2021
14,Industrial Metals & Mining,1.0,1.0,0.5,2021
15,Industrial Transportation,0.0,0.78,0.0,2021
16,Life Insurance,0.0,1.0,0.0,2021
17,Media,0.25,0.75,0.0,2021
18,Mobile Telecommunications,0.5,0.5,0.25,2021
19,Nonlife Insurance,0.62,0.76,0.1,2021
20,Not Applicable,0.29,0.14,0.07,2021
21,Oil & Gas Producers,0.5,0.92,0.33,2021
22,"Oil Equipment, Services & D...",0.73,1.0,0.0,2021
23,Personal Goods,0.67,1.0,0.33,2021
24,Pharmaceuticals & Biotechno...,0.25,0.25,0.12,2021
25,Support Services,0.33,0.53,0.07,2021
26,Travel & Leisure,0.17,0.67,0.17,2021
