,Year,HDI,Climate,Health,Intersection
0,2011,HIGH HUMAN DEVELOPMENT,0.25,0.83,0.0
1,2012,HIGH HUMAN DEVELOPMENT,0.33,0.86,0.0
2,2013,HIGH HUMAN DEVELOPMENT,0.32,0.95,0.05
3,2014,HIGH HUMAN DEVELOPMENT,0.24,1.0,0.18
4,2015,HIGH HUMAN DEVELOPMENT,0.32,1.0,0.0
5,2016,HIGH HUMAN DEVELOPMENT,0.38,0.88,0.0
6,2017,HIGH HUMAN DEVELOPMENT,0.35,0.85,0.0
7,2018,HIGH HUMAN DEVELOPMENT,0.42,0.79,0.08
8,2019,HIGH HUMAN DEVELOPMENT,0.48,0.83,0.04
9,2020,HIGH HUMAN DEVELOPMENT,0.56,0.83,0.17
10,2021,HIGH HUMAN DEVELOPMENT,0.56,0.85,0.11
