,Sector,intersection,climate,health
0,Banks,1.0,17.0,129.0
1,Beverages,0.0,0.0,20.0
2,Chemicals,11.0,58.0,192.0
3,Construction & Materials,0.0,12.0,18.0
4,Diversified,0.0,2.0,32.0
5,Electricity,1.0,48.0,336.0
6,Financial Services,8.0,87.0,519.0
7,Fixed Line Telecommunications,0.0,1.0,1.0
8,Food & Drug Retailers,0.0,18.0,445.0
9,Food Producers,0.0,32.0,449.0
10,Forestry & Paper,0.0,5.0,54.0
11,General Industrials,0.0,4.0,90.0
12,General Retailers,2.0,12.0,99.0
13,Industrial Engineering,0.0,0.0,62.0
14,Life Insurance,1.0,7.0,41.0
15,Media,0.0,0.0,2.0
16,Mobile Telecommunications,1.0,18.0,94.0
17,Nonlife Insurance,6.0,12.0,104.0
18,Not Applicable,0.0,16.0,16.0
19,"Oil Equipment, Services & D...",0.0,0.0,16.0
20,Personal Goods,1.0,7.0,57.0
21,Support Services,0.0,16.0,171.0
22,Technology Hardware & Equip...,0.0,0.0,0.0
