,HDI,Year,intersection,climate,health,sum
0,VERY HIGH HUMAN DEVELOPMENT,2011,0.0,9.0,147.0,156.0
1,VERY HIGH HUMAN DEVELOPMENT,2012,0.0,18.0,122.0,140.0
2,VERY HIGH HUMAN DEVELOPMENT,2013,0.0,13.0,161.0,174.0
3,VERY HIGH HUMAN DEVELOPMENT,2014,1.0,22.0,220.0,243.0
4,VERY HIGH HUMAN DEVELOPMENT,2015,0.0,9.0,228.0,237.0
5,VERY HIGH HUMAN DEVELOPMENT,2016,2.0,7.0,225.0,234.0
6,VERY HIGH HUMAN DEVELOPMENT,2017,0.0,14.0,115.0,129.0
7,VERY HIGH HUMAN DEVELOPMENT,2018,4.0,11.0,200.0,215.0
8,VERY HIGH HUMAN DEVELOPMENT,2019,1.0,7.0,52.0,60.0
9,VERY HIGH HUMAN DEVELOPMENT,2020,0.0,3.0,10.0,13.0
10,VERY HIGH HUMAN DEVELOPMENT,2021,6.0,33.0,284.0,323.0
